business_id,score,date,type,new_date,year
1002,85,20170928,routine,2017-09-28,2017
1002,89,20150126,routine,2015-01-26,2015
1002,90,20160217,routine,2016-02-17,2016
1003,98,20150407,routine,2015-04-07,2015
1003,86,20170823,routine,2017-08-23,2017
1003,88,20160706,routine,2016-07-06,2016
1005,78,20170713,routine,2017-07-13,2017
1005,84,20160502,routine,2016-05-02,2016
1005,84,20180122,routine,2018-01-22,2018
1008,88,20170905,routine,2017-09-05,2017
1008,94,20160804,routine,2016-08-04,2016
1008,98,20151202,routine,2015-12-02,2015
1018,83,20170718,routine,2017-07-18,2017
1018,96,20160606,routine,2016-06-06,2016
1021,91,20160819,routine,2016-08-19,2016
1021,98,20151117,routine,2015-11-17,2015
1021,90,20170912,routine,2017-09-12,2017
1026,88,20150520,routine,2015-05-20,2015
1026,87,20160726,routine,2016-07-26,2016
1031,80,20160915,routine,2016-09-15,2016
1036,90,20160913,routine,2016-09-13,2016
1042,92,20160803,routine,2016-08-03,2016
1042,92,20171211,routine,2017-12-11,2017
1042,91,20150512,routine,2015-05-12,2015
1043,96,20150605,routine,2015-06-05,2015
1043,87,20171116,routine,2017-11-16,2017
1047,84,20160719,routine,2016-07-19,2016
1047,80,20150629,routine,2015-06-29,2015
1048,92,20151210,routine,2015-12-10,2015
1048,88,20171026,routine,2017-10-26,2017
1048,96,20170118,routine,2017-01-18,2017
1048,85,20150901,routine,2015-09-01,2015
1065,81,20170906,routine,2017-09-06,2017
1065,80,20150806,routine,2015-08-06,2015
1075,90,20160111,routine,2016-01-11,2016
1075,87,20170726,routine,2017-07-26,2017
1075,90,20160309,routine,2016-03-09,2016
1081,88,20171106,routine,2017-11-06,2017
1081,86,20150615,routine,2015-06-15,2015
1081,96,20160919,routine,2016-09-19,2016
1081,84,20160222,routine,2016-02-22,2016
1085,92,20161209,routine,2016-12-09,2016
1085,96,20171207,routine,2017-12-07,2017
1090,74,20170504,routine,2017-05-04,2017
1090,98,20150126,routine,2015-01-26,2015
1090,100,20160426,routine,2016-04-26,2016
1103,96,20170928,routine,2017-09-28,2017
1103,98,20161129,routine,2016-11-29,2016
1103,96,20151224,routine,2015-12-24,2015
1103,100,20150519,routine,2015-05-19,2015
1111,94,20150513,routine,2015-05-13,2015
1111,87,20160621,routine,2016-06-21,2016
1111,90,20170302,routine,2017-03-02,2017
1116,94,20150610,routine,2015-06-10,2015
1116,89,20170928,routine,2017-09-28,2017
1116,96,20160912,routine,2016-09-12,2016
1122,98,20150204,routine,2015-02-04,2015
1122,86,20161014,routine,2016-10-14,2016
1122,94,20171214,routine,2017-12-14,2017
1122,94,20160329,routine,2016-03-29,2016
1124,89,20160330,routine,2016-03-30,2016
1124,80,20171114,routine,2017-11-14,2017
1125,96,20170816,routine,2017-08-16,2017
1125,96,20160527,routine,2016-05-27,2016
1127,94,20160615,routine,2016-06-15,2016
1127,96,20171004,routine,2017-10-04,2017
1135,96,20171102,routine,2017-11-02,2017
1135,90,20150310,routine,2015-03-10,2015
1139,80,20160620,routine,2016-06-20,2016
1139,79,20150501,routine,2015-05-01,2015
1139,69,20171127,routine,2017-11-27,2017
1144,79,20160929,routine,2016-09-29,2016
1144,88,20170828,routine,2017-08-28,2017
1144,86,20160329,routine,2016-03-29,2016
1144,75,20151222,routine,2015-12-22,2015
1146,74,20160613,routine,2016-06-13,2016
1147,94,20180102,routine,2018-01-02,2018
1147,98,20150203,routine,2015-02-03,2015
1147,98,20160422,routine,2016-04-22,2016
1147,98,20161028,routine,2016-10-28,2016
1147,98,20170523,routine,2017-05-23,2017
1151,98,20150306,routine,2015-03-06,2015
1151,90,20160505,routine,2016-05-05,2016
1151,90,20170216,routine,2017-02-16,2017
1154,88,20160105,routine,2016-01-05,2016
1154,81,20180110,routine,2018-01-10,2018
1154,76,20160912,routine,2016-09-12,2016
1156,93,20150317,routine,2015-03-17,2015
1156,92,20160401,routine,2016-04-01,2016
1156,94,20170419,routine,2017-04-19,2017
1159,87,20150820,routine,2015-08-20,2015
1159,78,20170131,routine,2017-01-31,2017
1188,100,20161109,routine,2016-11-09,2016
1191,92,20170202,routine,2017-02-02,2017
1191,94,20151106,routine,2015-11-06,2015
1193,83,20160128,routine,2016-01-28,2016
1193,98,20150601,routine,2015-06-01,2015
1194,100,20171109,routine,2017-11-09,2017
1194,96,20161017,routine,2016-10-17,2016
1194,98,20150612,routine,2015-06-12,2015
1199,98,20150310,routine,2015-03-10,2015
1199,90,20160414,routine,2016-04-14,2016
1199,90,20180117,routine,2018-01-17,2018
1203,77,20170803,routine,2017-08-03,2017
1203,98,20161013,routine,2016-10-13,2016
1203,92,20150924,routine,2015-09-24,2015
1204,96,20170425,routine,2017-04-25,2017
1204,92,20160209,routine,2016-02-09,2016
1204,96,20150708,routine,2015-07-08,2015
1207,72,20170125,routine,2017-01-25,2017
1207,56,20150721,routine,2015-07-21,2015
1219,91,20161031,routine,2016-10-31,2016
1231,74,20171031,routine,2017-10-31,2017
