business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,postal_code_5
64958,YAKINIQ CAFE,1640 POST ST  ,San Francisco,CA,94115,37.785738,-122.428824,+14154419291,94115
65004,HON'S WUN TUN HOUSE,648 KEARNY ST ,San Francisco,CA,94108,37.794197,-122.404697,+14154333966,94108
65007,PAUSE,1666 MARKET ST.,San Francisco,CA,94102,37.773344,-122.42163799999999,+14154018984,94102
65012,MASALA DOSA,1375 09TH AVE ,San Francisco,CA,94122,,,+14155666976,94122
65014,THE OLD CLAM HOUSE,299 BAYSHORE BLVD ,San Francisco,CA,94124,37.743212,-122.405055,+14158264880,94124
65026,ANA'S MARKET,105 BROAD ST ,San Francisco,CA,94112,37.713153000000005,-122.45641,+14153399475,94112
65050,HOUSE OF BANQUET,939 CLEMENT ST ,San Francisco,CA,94118,37.782663,-122.46935900000001,+14157880203,94118
65051,MISSION CHEESE,736 VALENCIA ST ,San Francisco,CA,94110,37.761146999999994,-122.42153400000001,+14155538667,94110
65057,THE BRIXTON,2140 UNION ST ,San Francisco,CA,94123,37.797238,-122.434533,+14154091114,94123
65060,ATELIER CRENN,3127 FILLMORE ST ,San Francisco,CA,94123,37.798403,-122.435804,+14154400460,94123
